player_name,team_name,shot_zone_basic,games_played,shot_attempts,shots_made,shooting_percentage,player_photo,team_logo
Paul George,Los Angeles Clippers,Above the Break 3,74,495,203,0.41010101010101,https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Mikal Bridges,Brooklyn Nets,Right Corner 3,82,105,43,0.40952380952381,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
RJ Barrett,Toronto Raptors,In The Paint (Non-RA),58,127,52,0.409448818897638,https://cdn.nba.com/headshots/nba/latest/1040x760/1629628.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
Buddy Hield,Indiana Pacers,Mid-Range,84,22,9,0.409090909090909,https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
Derrick White,Boston Celtics,Right Corner 3,73,66,27,0.409090909090909,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
Jordan Clarkson,Utah Jazz,Right Corner 3,55,22,9,0.409090909090909,https://cdn.nba.com/headshots/nba/latest/1040x760/203903.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
LaMelo Ball,Charlotte Hornets,Left Corner 3,22,22,9,0.409090909090909,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
Matisse Thybulle,Portland Trail Blazers,Right Corner 3,65,44,18,0.409090909090909,https://cdn.nba.com/headshots/nba/latest/1040x760/1629680.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
Talen Horton-Tucker,Utah Jazz,Left Corner 3,51,22,9,0.409090909090909,https://cdn.nba.com/headshots/nba/latest/1040x760/1629659.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg
Jared Butler,Washington Wizards,In The Paint (Non-RA),40,49,20,0.408163265306122,https://cdn.nba.com/headshots/nba/latest/1040x760/1630215.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
Tim Hardaway Jr.,Dallas Mavericks,Mid-Range,79,174,71,0.408045977011494,https://cdn.nba.com/headshots/nba/latest/1040x760/203501.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
Damian Lillard,Milwaukee Bucks,Mid-Range,73,179,73,0.407821229050279,https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
